trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12905816,15:54:35,15:54:35,12663,4,,0,0,0.9331
12905816,15:56:51,15:56:51,1269,5,,0,0,1.5221
12905816,15:58:24,15:58:24,1271,6,,0,0,1.9271
12905816,16:00:04,16:00:04,1273,7,,0,0,2.3591
12905816,16:01:53,16:01:53,1275,8,,0,0,2.8334
12905816,16:03:42,16:03:42,1276,9,,0,0,3.3083
12905817, 9:52:00, 9:52:00,646,1,,0,0,
12905817,10:04:03,10:04:03,1277,10,,0,0,3.4113
12905817,10:05:28,10:05:28,1279,11,,0,0,3.8103
12905817,10:07:26,10:07:26,56,12,,0,0,4.3659
12905817,10:08:18,10:08:18,12619,13,,0,0,4.61
12905817,10:08:52,10:08:52,58,14,,0,0,4.771
12905817,10:09:54,10:09:54,60,15,,0,0,5.0638
12905817,10:10:32,10:10:32,61,16,,0,0,5.2448
12905817,10:11:33,10:11:33,63,17,,0,0,5.534
12905817,10:12:12,10:12:12,64,18,,0,0,5.7171
12905817,10:13:51,10:13:51,12040,19,,0,0,6.1851
12905817, 9:53:10, 9:53:10,378,2,,0,0,0.33
12905817,10:15:03,10:15:03,10542,20,,0,0,6.5242
12905817,10:16:18,10:16:18,69,21,,0,0,6.8763
12905817,10:16:54,10:16:54,70,22,,0,0,7.0484
12905817,10:18:10,10:18:10,72,23,,0,0,7.4065
12905817,10:22:42,10:22:42,73,24,,0,0,8.6831
12905817,10:23:37,10:23:37,75,25,,0,0,8.9441
12905817,10:24:39,10:24:39,11881,26,,0,0,9.2361
12905817,10:25:32,10:25:32,12603,27,,0,0,9.4858
12905817,10:26:13,10:26:13,30,28,,0,0,9.6796
12905817,10:27:00,10:27:00,31,29,,0,0,9.8494
12905817, 9:54:02, 9:54:02,379,3,,0,0,0.578
12905817,10:30:00,10:30:00,9069,30,,1,0,10.8227
12905817, 9:55:17, 9:55:17,12663,4,,0,0,0.9331
12905817, 9:57:22, 9:57:22,1269,5,,0,0,1.5221
12905817, 9:58:48, 9:58:48,1271,6,,0,0,1.9271
12905817,10:00:20,10:00:20,1273,7,,0,0,2.3591
12905817,10:02:01,10:02:01,1275,8,,0,0,2.8334
12905817,10:03:42,10:03:42,1276,9,,0,0,3.3083
12905818,10:12:00,10:12:00,55,1,,0,0,
12905818,10:22:34,10:22:34,10542,10,,0,0,2.4674
12905818,10:24:05,10:24:05,69,11,,0,0,2.8195
12905818,10:24:49,10:24:49,70,12,,0,0,2.9916
12905818,10:26:21,10:26:21,72,13,,0,0,3.3497
12905818,10:31:51,10:31:51,73,14,,0,0,4.6264
12905818,10:32:58,10:32:58,75,15,,0,0,4.8874
12905818,10:34:13,10:34:13,11881,16,,0,0,5.1794
12905818,10:35:17,10:35:17,12603,17,,0,0,5.4291
12905818,10:36:07,10:36:07,30,18,,0,0,5.6229
12905818,10:37:00,10:37:00,31,19,,0,0,5.7926
12905818,10:13:20,10:13:20,56,2,,0,0,0.3092
12905818,10:40:00,10:40:00,9069,20,,1,0,6.7659
12905818,10:14:23,10:14:23,12619,3,,0,0,0.5532
12905818,10:15:04,10:15:04,58,4,,0,0,0.7143
12905818,10:16:19,10:16:19,60,5,,0,0,1.0071
12905818,10:17:05,10:17:05,61,6,,0,0,1.1881
12905818,10:18:19,10:18:19,63,7,,0,0,1.4773
12905818,10:19:06,10:19:06,64,8,,0,0,1.6603
12905818,10:21:07,10:21:07,12040,9,,0,0,2.1283
12905819,15:39:00,15:39:00,646,1,,0,0,
12905819,15:52:05,15:52:05,1277,10,,0,0,3.4113
12905819,15:53:37,15:53:37,1279,11,,0,0,3.8103
12905819,15:55:45,15:55:45,56,12,,0,0,4.3659
12905819,15:56:41,15:56:41,12619,13,,0,0,4.61
12905819,15:57:18,15:57:18,58,14,,0,0,4.771
12905819,15:58:25,15:58:25,60,15,,0,0,5.0638
12905819,15:59:06,15:59:06,61,16,,0,0,5.2448
12905819,16:00:12,16:00:12,63,17,,0,0,5.534
12905819,16:00:54,16:00:54,64,18,,0,0,5.7171
12905819,16:02:42,16:02:42,12040,19,,0,0,6.1851
12905819,15:40:16,15:40:16,378,2,,0,0,0.33
12905819,16:04:00,16:04:00,10542,20,,0,0,6.5242
12905819,16:05:21,16:05:21,69,21,,0,0,6.8763
12905819,16:06:00,16:06:00,70,22,,0,0,7.0484
12905819,16:07:22,16:07:22,72,23,,0,0,7.4065
12905819,16:12:17,16:12:17,73,24,,0,0,8.6831
12905819,16:13:17,16:13:17,75,25,,0,0,8.9441
12905819,16:14:24,16:14:24,11881,26,,0,0,9.2361
12905819,16:15:21,16:15:21,12603,27,,0,0,9.4858
12905819,16:16:05,16:16:05,30,28,,0,0,9.6796
12905819,16:17:00,16:17:00,31,29,,0,0,9.8494
12905819,15:41:13,15:41:13,379,3,,0,0,0.578
12905819,16:22:00,16:22:00,9069,30,,1,0,10.8227
12905819,15:42:35,15:42:35,12663,4,,0,0,0.9331
12905819,15:44:51,15:44:51,1269,5,,0,0,1.5221
12905819,15:46:24,15:46:24,1271,6,,0,0,1.9271
12905819,15:48:04,15:48:04,1273,7,,0,0,2.3591
